"CellID","seurat_cluster.projected"
"s_008um_00646_00195-1","1"
"s_008um_00606_00217-1","0"
"s_008um_00519_00174-1","0"
"s_008um_00629_00178-1","0"
"s_008um_00528_00192-1","0"
"s_008um_00542_00210-1","0"
"s_008um_00597_00179-1","1"
"s_008um_00545_00144-1","2"
"s_008um_00616_00241-1","0"
"s_008um_00585_00198-1","2"
"s_008um_00585_00257-1","0"
"s_008um_00597_00192-1","2"
"s_008um_00646_00263-1","0"
"s_008um_00539_00237-1","0"
"s_008um_00562_00155-1","0"
"s_008um_00559_00178-1","0"
"s_008um_00627_00140-1","1"
"s_008um_00523_00170-1","1"
"s_008um_00583_00251-1","0"
"s_008um_00550_00220-1","0"
"s_008um_00549_00178-1","0"
"s_008um_00576_00252-1","2"
"s_008um_00629_00203-1","0"
"s_008um_00573_00261-1","0"
"s_008um_00611_00256-1","1"
"s_008um_00597_00178-1","2"
"s_008um_00563_00234-1","0"
"s_008um_00591_00222-1","0"
"s_008um_00570_00149-1","0"
"s_008um_00528_00188-1","0"
"s_008um_00598_00266-1","0"
"s_008um_00652_00193-1","1"
"s_008um_00531_00180-1","0"
"s_008um_00629_00186-1","0"
"s_008um_00531_00235-1","0"
"s_008um_00642_00232-1","2"
"s_008um_00566_00169-1","1"
"s_008um_00580_00250-1","0"
"s_008um_00611_00273-1","1"
"s_008um_00538_00145-1","1"
"s_008um_00577_00179-1","2"
"s_008um_00521_00194-1","0"
"s_008um_00594_00246-1","0"
"s_008um_00572_00228-1","0"
"s_008um_00551_00196-1","0"
"s_008um_00588_00245-1","0"
"s_008um_00565_00260-1","0"
"s_008um_00524_00214-1","1"
"s_008um_00548_00241-1","1"
"s_008um_00588_00165-1","2"
"s_008um_00516_00208-1","0"
"s_008um_00562_00227-1","0"
"s_008um_00626_00237-1","0"
"s_008um_00541_00246-1","0"
"s_008um_00650_00156-1","1"
"s_008um_00604_00232-1","1"
"s_008um_00569_00172-1","2"
"s_008um_00528_00215-1","0"
"s_008um_00562_00250-1","1"
"s_008um_00555_00179-1","0"
"s_008um_00624_00171-1","2"
"s_008um_00586_00261-1","0"
"s_008um_00570_00224-1","0"
"s_008um_00636_00251-1","0"
"s_008um_00618_00151-1","1"
"s_008um_00561_00242-1","1"
"s_008um_00514_00211-1","0"
"s_008um_00592_00148-1","0"
"s_008um_00580_00146-1","0"
"s_008um_00624_00195-1","0"
"s_008um_00647_00224-1","1"
"s_008um_00523_00204-1","0"
"s_008um_00571_00202-1","2"
"s_008um_00598_00154-1","0"
"s_008um_00538_00271-1","0"
"s_008um_00582_00206-1","2"
"s_008um_00523_00263-1","0"
"s_008um_00524_00250-1","0"
"s_008um_00596_00210-1","1"
"s_008um_00631_00235-1","0"
"s_008um_00542_00244-1","0"
"s_008um_00646_00176-1","1"
"s_008um_00610_00261-1","2"
"s_008um_00571_00271-1","0"
"s_008um_00595_00218-1","0"
"s_008um_00648_00252-1","1"
"s_008um_00542_00249-1","0"
"s_008um_00580_00165-1","1"
"s_008um_00589_00259-1","0"
"s_008um_00541_00166-1","0"
"s_008um_00615_00188-1","0"
"s_008um_00551_00163-1","0"
"s_008um_00540_00137-1","1"
"s_008um_00548_00217-1","0"
"s_008um_00558_00269-1","0"
"s_008um_00571_00274-1","1"
"s_008um_00528_00276-1","1"
"s_008um_00543_00223-1","1"
"s_008um_00522_00167-1","1"
"s_008um_00633_00261-1","2"
"s_008um_00559_00262-1","1"
"s_008um_00641_00205-1","0"
"s_008um_00595_00255-1","0"
"s_008um_00630_00172-1","0"
"s_008um_00530_00174-1","0"
"s_008um_00642_00178-1","2"
"s_008um_00639_00173-1","1"
"s_008um_00638_00146-1","1"
"s_008um_00617_00245-1","0"
"s_008um_00613_00245-1","0"
"s_008um_00519_00147-1","0"
"s_008um_00616_00254-1","2"
"s_008um_00540_00145-1","0"
"s_008um_00629_00208-1","0"
"s_008um_00627_00269-1","2"
"s_008um_00594_00194-1","0"
"s_008um_00570_00184-1","2"
"s_008um_00547_00198-1","0"
"s_008um_00610_00192-1","0"
"s_008um_00640_00195-1","0"
"s_008um_00591_00197-1","1"
"s_008um_00653_00218-1","1"
"s_008um_00586_00204-1","2"
"s_008um_00604_00214-1","2"
"s_008um_00565_00175-1","2"
"s_008um_00544_00182-1","1"
"s_008um_00580_00271-1","2"
"s_008um_00581_00187-1","1"
"s_008um_00520_00257-1","0"
"s_008um_00573_00181-1","2"
"s_008um_00632_00215-1","0"
"s_008um_00554_00231-1","0"
"s_008um_00581_00220-1","2"
"s_008um_00553_00190-1","0"
"s_008um_00554_00162-1","0"
"s_008um_00613_00205-1","2"
"s_008um_00619_00154-1","1"
"s_008um_00587_00138-1","0"
"s_008um_00579_00219-1","1"
"s_008um_00606_00138-1","1"
"s_008um_00645_00276-1","2"
"s_008um_00533_00243-1","0"
"s_008um_00524_00160-1","1"
"s_008um_00579_00250-1","0"
"s_008um_00622_00220-1","2"
"s_008um_00587_00230-1","0"
"s_008um_00635_00258-1","0"
"s_008um_00607_00159-1","0"
"s_008um_00633_00200-1","0"
"s_008um_00589_00236-1","1"
"s_008um_00514_00256-1","0"
"s_008um_00546_00260-1","1"
"s_008um_00545_00136-1","1"
"s_008um_00650_00230-1","1"
"s_008um_00541_00236-1","0"
"s_008um_00525_00173-1","0"
"s_008um_00625_00257-1","2"
"s_008um_00540_00157-1","1"
"s_008um_00534_00208-1","1"
"s_008um_00521_00205-1","0"
"s_008um_00538_00148-1","1"
"s_008um_00535_00190-1","1"
"s_008um_00637_00253-1","0"
"s_008um_00645_00186-1","2"
"s_008um_00624_00176-1","0"
"s_008um_00549_00221-1","0"
"s_008um_00534_00274-1","0"
"s_008um_00559_00155-1","2"
"s_008um_00586_00231-1","0"
"s_008um_00559_00268-1","0"
"s_008um_00620_00146-1","1"
"s_008um_00521_00136-1","0"
"s_008um_00641_00228-1","1"
"s_008um_00517_00265-1","0"
"s_008um_00559_00137-1","1"
"s_008um_00574_00234-1","0"
"s_008um_00554_00170-1","0"
"s_008um_00520_00273-1","0"
"s_008um_00558_00274-1","0"
"s_008um_00574_00152-1","0"
"s_008um_00541_00232-1","0"
"s_008um_00542_00225-1","1"
"s_008um_00527_00191-1","0"
"s_008um_00589_00224-1","0"
"s_008um_00514_00171-1","0"
"s_008um_00544_00219-1","0"
"s_008um_00560_00165-1","0"
"s_008um_00571_00273-1","2"
"s_008um_00642_00274-1","2"
"s_008um_00637_00261-1","0"
